VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7
184.08,27982.6735522966,0,-3802.27204713213,-0,-38.3587770237577,-0
184.09,27984.006680812,0,-3801.21689861401,-0,-38.3632525841827,-0
184.1,27985.3397269084,0,-3800.16164596339,-0,-38.3677279276595,-0
184.11,27986.6726905836,0,-3799.10628918601,-0,-38.3722032710817,-0
184.12,27988.0055718335,0,-3798.05082829337,-0,-38.3766781797019,-0
184.13,27989.3383706519,0,-3796.99526330271,-0,-38.3811528704409,-0
184.14,27990.6710870367,0,-3795.9395942198,-0,-38.3856275611253,-0
184.15,27992.003720984,0,-3794.88382105615,-0,-38.3901018151415,-0
184.16,27993.3362724874,0,-3793.82794382903,-0,-38.3945758503434,-0
184.17,27994.668741545,0,-3792.77196254421,-0,-38.3990498854908,-0
184.18,27996.0011281526,0,-3791.71587721324,-0,-38.4035234821038,-0
184.19,27997.3334323043,0,-3790.65968785341,-0,-38.4079968589695,-0
184.2,27998.6656539978,0,-3789.60339447051,-0,-38.4124702357806,-0
184.21,27999.9977932292,0,-3788.54699707608,-0,-38.4169431721912,-0
184.22,28001.3298499923,0,-3787.49049568748,-0,-38.4214158879214,-0
184.23,28002.6618242852,0,-3786.43389031049,-0,-38.425888603597,-0
184.24,28003.9937161059,0,-3785.3771809509,-0,-38.430361098254,-0
184.25,28005.3255254482,0,-3784.32036762607,-0,-38.4348331500222,-0
184.26,28006.6572523061,0,-3783.2634503534,-0,-38.4393049798659,-0
184.27,28007.9888966777,0,-3782.20642913868,-0,-38.4437768096551,-0
184.28,28009.3204585589,0,-3781.14930399352,-0,-38.4482481946894,-0
184.29,28010.6519379436,0,-3780.09207493532,-0,-38.4527193568661,-0
184.3,28011.98333483,0,-3779.03474196992,-0,-38.4571905189883,-0
184.31,28013.314649214,0,-3777.97730510891,-0,-38.4616612344894,-0
184.32,28014.6458810897,0,-3776.91976436977,-0,-38.4661317261999,-0
184.33,28015.977030455,0,-3775.86211975829,-0,-38.4706022178559,-0
184.34,28017.308097306,0,-3774.80437128614,-0,-38.4750722610247,-0
184.35,28018.6390816367,0,-3773.74651897078,-0,-38.4795420794697,-0
184.36,28019.9699834452,0,-3772.68856281805,-0,-38.4840118978603,-0
184.37,28021.3008027276,0,-3771.63050283961,-0,-38.4884812658976,-0
184.38,28022.6315394779,0,-3770.57233905298,-0,-38.492950408278,-0
184.39,28023.9621936942,0,-3769.51407146399,-0,-38.4974195506039,-0
184.4,28025.2927653725,0,-3768.45570008433,-0,-38.5018882407103,-0
